,label,name,party,wahlkreis,x,y,0,1,2,3,4,5,6,7,digital,familie,natur,arbeit
0,rita-hagl-kehl,Rita Hagl-Kehl,SPD,Deggendorf,269.88104,-326.62793,0.01826289520591981,0.09368352799691958,0.0021027200118574397,0.0,0.0,0.15196822958881626,0.1044667970373528,0.019336215932215732,0.02238115184953121,0.032683304914977236,0.09840742423293232,0.08780797828154649
1,sibylle-schmidt,Sibylle Schmidt,AfD,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,-193.40195,178.14224,0.041309930436889714,0.0,0.036160437035921485,0.05113145677503006,0.0,0.0,0.0,0.008613689400929426,0.010890040128302634,0.06493072962517958,0.0,0.0
2,katja-kipping,Katja Kipping,DIE LINKE,Dresden I,324.88693,505.91827,0.0,0.037418488928718664,0.19737434215401736,0.0,0.0,0.0,0.0,0.0,0.0,0.030516547393288008,0.0,0.1127074070777634
3,alexander-horlamus,Alexander Horlamus,SPD,Roth,-115.47656,-39.383533,0.02096838248672587,0.0,0.022788127037176267,0.017192126854251474,0.0,0.0018191017360613976,0.027144220740455312,0.007710601252429888,0.0,0.0,0.0,0.020624654115736725
4,carsten-preus,Carsten Preuß,DIE LINKE,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,336.67697,604.55615,0.0,0.04561392908812195,0.2965183902649566,0.0,0.0,0.11274852987258105,0.0,0.0,0.015511046367681556,0.015380152178264281,0.10500229185731916,0.12383042745407866
5,danyal-bayaz,Dr.  Danyal Bayaz,DIE GRÜNEN,Bruchsal - Schwetzingen,263.45184,-154.40004,0.0,0.0,0.01564879502859749,0.0,0.0,0.14567644908403266,0.004101573944361729,0.05387634790185317,0.06128133810234344,0.0101436034511056,0.06100819286417796,0.0
6,ellen-gause,Ellen Gause,DIE GRÜNEN,Rotenburg I - Heidekreis,119.249435,-141.20653,0.0,0.03068334421978369,0.0024034419827476013,0.04929610368337199,0.0,0.09434181398659723,0.012367716916433279,0.029157800735871525,0.03875498991916968,0.020804140084485025,0.06316407133710766,0.012844700075506369
7,mirco-hanker,Mirco Hanker,AfD,Braunschweig,-447.49518,262.8582,0.07302193250976663,0.05457166356706575,0.009647211126329722,0.12296355900620352,0.0,0.0,0.0,0.005333738661370945,0.012855149393066772,0.10969042168608703,0.0051703892435830436,0.06154863453950321
8,sebastian-misselhorn,Sebastian Misselhorn,DIE LINKE,Rosenheim,798.9224,295.16925,0.0,0.19016277535095152,0.0,0.05308562494300607,0.0,0.0,0.0,0.0,0.0,0.012180413972105177,0.0,0.16555519732824142
9,leif-erik-holm,Leif-Erik Holm,AfD,Vorpommern-Rügen - Vorpommern-Greifswald I,843.1962,-63.908756,0.15822345061980433,0.0,0.0,0.07002913953163795,0.0,0.0,0.0,0.0033154558842490604,0.0,0.14624464924579875,0.0,0.0686836325753295
