,label,name,party,wahlkreis,x,y,digital,familie,demokratie,natur,arbeit
33,manfred-ebel,Manfred Ebel,DKP,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,-17.568838,695.59845,0.0,0.018063882122649647,0.01085060982733403,0.02205719557623865,0.029343439158055512
34,esther-isaak-de-schmidt-bohlander,Esther Isaak de Schmidt-Bohländer,DIE PARTEI,Hamburg-Wandsbek,-276.14594,175.70972,0.0,0.0,0.022285438591167085,0.0038884791478023353,0.002924377965559355
35,tilo-hellmann,Tilo Hellmann,DIE LINKE,Meißen,1282.5182,-70.90099,0.0,0.20795329999150405,0.02165343574506968,0.01871514901638249,0.16517447806084318
36,leon-hahn,Leon Hahn,SPD,Bodensee,-37.243023,-512.90936,0.07278537794348976,0.10600621267364106,0.033109001058472406,0.05285640329676587,0.10479008499433712
37,roland-panter,Roland Panter,DIE GRÜNEN,Hannover-Land II,-937.43036,-55.823475,0.06182284661542412,0.04303568945599811,0.08014499193946663,0.03713637358445683,0.06091195450690098
38,georg-sattler,Georg Sattler,SPD,Rottweil - Tuttlingen,776.4028,159.92503,0.0,0.0,0.0,0.028266823668966618,0.1243084881555006
39,margit-stumpp,Dipl. Ing. (FH) Margit Stumpp,DIE GRÜNEN,Aalen - Heidenheim,-683.9192,144.40807,0.01386125931724255,0.01901266577476149,0.12810776044369446,0.06975220661107671,0.0
40,gabriele-hiller-ohm,Gabriele Hiller-Ohm,SPD,Lübeck,1265.3164,-196.62798,0.01366334503137728,0.1861764446606554,0.0071350988563245845,0.012816342844359915,0.1108677273607724
41,steffen-doebert,Steffen Doebert,Mieterpartei,Berlin-Marzahn-Hellersdorf,-710.56213,286.2098,0.007660573556441945,0.014949656008535256,0.08930491497955408,0.02954431694173022,0.07063257830807465
42,katrin-werner,Katrin Werner,DIE LINKE,Trier,277.7848,695.1017,0.0,0.05177364308339308,0.0055580071148713705,0.0,0.030649402742780076
43,dr-nils-schmid,Dr. Nils Schmid,SPD,Nürtingen,739.67786,-111.693146,0.0066465210640135036,0.0707439416973339,0.02748940873792353,0.0,0.07596312855479614
44,pia-zimmermann,Pia Zimmermann,DIE LINKE,Helmstedt - Wolfsburg,510.8326,377.40076,0.0,0.008969052172582502,0.009514979596921543,0.0,0.08889654891646039
45,dirk-methfessel,Dirk Methfessel,DIE LINKE,Main-Kinzig - Wetterau II - Schotten,506.98196,-170.52531,0.006847881851562033,0.0,0.07078653487871571,0.1625386548701593,0.06513254198399769
46,florian-osner,Florian Oßner,CSU,Landshut,24.021793,-750.59735,0.040491627840385215,0.11695438278640538,0.005337761136212228,0.07517913101828905,0.03111373750547585
47,dr-reinhold-reck,Dr. Reinhold Reck,ÖDP,Freising,-398.49786,-142.51154,0.00380001188757746,0.05214644029183048,0.09059873972418317,0.049788249657609376,0.03167329124504836
48,daniela-langer,Daniela Kluckert,FDP,Berlin-Pankow,-353.33395,-702.5023,0.06953445020852549,0.01656464713305225,0.016592750512903938,0.041903716105495536,0.0163655449873633
49,john-haberle,John Haberle,DIE GRÜNEN,Märkischer Kreis II,309.0639,-290.94156,0.0,0.0,0.0,0.12701606044003752,0.0
50,katja-suding,Katja Suding,FDP,Hamburg-Altona,-76.732574,-330.0142,0.016068635746949757,0.07889004853052849,0.025488455384038308,0.008397750135036783,0.008448859751835038
51,detlef-muller,Detlef Müller,SPD,Chemnitz,969.7975,8.253631,0.027118642213516897,0.10125787686502626,0.03094546782027985,0.009749646761995068,0.0705839134475117
52,peter-schimke,Peter Schimke,DIE LINKE,Ludwigsburg,1165.3179,542.52057,0.011481734436278791,0.05254097361106151,0.027115222510284732,0.004208085354667905,0.24881994072641664
53,heidi-beutin,Heidi Beutin,DIE LINKE,Herzogtum Lauenburg - Stormarn-Süd,-85.35448,717.73517,0.006555811747151668,0.03823262373605568,0.04171226550625382,0.0,0.08574690777584397
54,frank-karnbach,Frank Karnbach,AfD,Darmstadt,-955.836,540.2656,0.0,0.0,0.13224583425901582,0.0,0.011245317937654532
55,doris-aschenbrenner,Dr. Doris Aschenbrenner,SPD,Coburg,45.90623,-818.62897,0.0536182139089499,0.09582293488728708,0.028072400352742947,0.009801809304015,0.02343803881741802
56,klaus-ernst,Klaus Ernst,DIE LINKE,Schweinfurt,983.00616,473.63727,0.010524275418704614,0.02019848170709247,0.03471997199547082,0.0,0.1852394849029596
57,dominik-haffner,Dominik Haffner,DIE PARTEI,Bonn,-270.80182,-159.95459,0.0,0.0,0.002252779185701232,0.0,0.0061558443546713216
