,label,name,party,wahlkreis,x,y,digital,familie,demokratie,natur,arbeit
0,rita-hagl-kehl,Rita Hagl-Kehl,SPD,Deggendorf,269.88104,-326.62793,0.02238115184953121,0.032683304914977236,0.016421845838700797,0.09840742423293232,0.08780797828154649
1,sibylle-schmidt,Sibylle Schmidt,AfD,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,-193.40195,178.14224,0.010890040128302634,0.06493072962517958,0.016923469246575132,0.0,0.0
2,katja-kipping,Katja Kipping,DIE LINKE,Dresden I,324.88693,505.91827,0.0,0.030516547393288008,0.01758224451211383,0.0,0.1127074070777634
3,alexander-horlamus,Alexander Horlamus,SPD,Roth,-115.47656,-39.383533,0.0,0.0,0.03943792215151992,0.0,0.020624654115736725
4,carsten-preus,Carsten Preuß,DIE LINKE,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,336.67697,604.55615,0.015511046367681556,0.015380152178264281,0.04865798554992083,0.10500229185731916,0.12383042745407866
5,danyal-bayaz,Dr.  Danyal Bayaz,DIE GRÜNEN,Bruchsal - Schwetzingen,263.45184,-154.40004,0.06128133810234344,0.0101436034511056,0.0,0.06100819286417796,0.0
6,ellen-gause,Ellen Gause,DIE GRÜNEN,Rotenburg I - Heidekreis,119.249435,-141.20653,0.03875498991916968,0.020804140084485025,0.01835832388519092,0.06316407133710766,0.012844700075506369
7,mirco-hanker,Mirco Hanker,AfD,Braunschweig,-447.49518,262.8582,0.012855149393066772,0.10969042168608703,0.0737111502197858,0.0051703892435830436,0.06154863453950321
8,sebastian-misselhorn,Sebastian Misselhorn,DIE LINKE,Rosenheim,798.9224,295.16925,0.0,0.012180413972105177,0.05020608031338725,0.0,0.16555519732824142
9,leif-erik-holm,Leif-Erik Holm,AfD,Vorpommern-Rügen - Vorpommern-Greifswald I,843.1962,-63.908756,0.0,0.14624464924579875,0.08033235105490998,0.0,0.0686836325753295
10,gunther-gorlich,Günther Alfred Görlich,FREIE WÄHLER,München-Süd,-84.508484,15.36963,0.0,0.0,0.0,0.0,0.024571116608103058
11,lucia-maria-fischer,Lucia Maria Fischer,ÖDP,Oberallgäu,-697.2417,136.57516,0.0,0.0,0.11043310755508004,0.07007663681125914,0.009760212838539258
12,sebastian-knopf,Sebastian Knopf,DIE LINKE,Worms,139.12263,-606.0086,0.003318923577892041,0.007468461346556353,0.10464233863118752,0.00588389547282241,0.011192546135674487
13,dr-hans-joachim-schabedoth,Dr. Hans Joachim Schabedoth,SPD,Hochtaunus,20.835814,-145.6884,0.010333557709580232,0.034768729458758675,0.015238345873829268,0.026192137684773086,0.0378775799962341
14,evelyn-edler,Evelyn Edler,DIE LINKE,Harz,296.73193,107.65475,0.0,0.02688884922853776,0.0485749710405937,0.0,0.096383068752935
15,christina-steinhausen,Christina Steinhausen,FDP,Ahrweiler,-232.5432,-506.44647,0.025939018974630364,0.05299726638707604,0.030901625513354625,0.03189158096655037,0.009328638862952144
16,hannes-grabner,Hannes Gräbner,SPD,Bad Tölz - Wolfratshausen - Miesbach,435.95154,286.27158,0.0,0.1323167014588284,0.01877540083039189,0.0,0.09237516802092488
17,claudia-moll,Claudia Moll,SPD,Aachen II,754.4812,25.601274,0.0,0.02042460168746177,0.001799102093930466,0.016147327413413484,0.12812617227060494
18,jan-niclas-gesenhues,Jan-Niclas Gesenhues,DIE GRÜNEN,Steinfurt III,341.80386,-81.355774,0.059758640051327964,0.078442653931541,0.018104863687797818,0.14179682690528278,0.021584589093940454
19,christoph-matschie-2,Christoph Matschie,SPD,Jena - Sömmerda - Weimarer Land I,904.0908,-121.16015,0.041276321955992096,0.14830898571060958,0.010097353946191,0.025621667120756253,0.14062428893401147
20,nadije-memedi,Nadije Memedi,DIE LINKE,Cuxhaven - Stade II,199.30302,130.66891,0.002188540632669178,0.038349981857340655,0.02948645887646253,0.0463378940504717,0.041465579068781934
21,heiko-miras,Heiko Miraß,SPD,Mecklenburgische Seenplatte I - Vorpommern-Greifswald II,427.526,-545.60645,0.006819619687152796,0.10779302490389717,0.01704340601954024,0.016587413498871634,0.06874160097813202
22,pascal-meiser,Pascal Meiser,DIE LINKE,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,323.4632,434.3225,0.014722397455085384,0.03167744449690281,0.004302336284852082,0.0,0.10080812308013452
23,agnes-hasenjager,Agnes Hasenjäger,DIE LINKE,Rotenburg I - Heidekreis,-111.464264,468.92014,0.01582485096895601,0.01410744990061077,0.06011101013667172,0.013792408259071841,0.08270916237750571
24,britta-walthelm,Britta Walthelm,DIE GRÜNEN,Nürnberg-Nord,493.09528,-312.16708,0.027489865049699143,0.09534209373837896,0.015064421595757252,0.2120010799056911,0.061527314175597016
25,annette-heidrich,Annette Heidrich,SPD,Altötting,721.65533,102.160805,0.01906196432742564,0.11164359002077733,0.05080698802817606,0.008888719745072035,0.131919586760242
26,andreas-steier,Andreas Steier,CDU,Trier,-73.32187,-546.56885,0.060396512152408835,0.012536401555372721,0.0118326805407139,0.0,0.01102558442216097
27,markus-brem,Dr. Markus Brem,FREIE WÄHLER,Augsburg-Land,-576.14575,-64.45754,0.03326081484019741,0.040075622257490416,0.05157893404399937,0.035831992340619935,0.002420135399389325
28,christine-lambrecht,Christine Lambrecht,SPD,Bergstraße,815.70294,-166.35442,0.01100586346365335,0.14564367312723556,0.010495461461751673,0.0031317218042565638,0.07299812250627351
29,sahra-mirow,Sahra Mirow,DIE LINKE,Heidelberg,686.80835,422.28595,0.022029645427526855,0.010747703456163564,0.007822006598790902,0.0,0.19099595887416226
30,harald-becker,Harald Becker,Tierschutzallianz,Rottweil - Tuttlingen,-658.88696,244.26794,0.005013431880289493,0.0167530054690524,0.09145905699184892,0.023080543920934345,0.033822919614432116
31,thomas-hasel,Thomas Hasel,Parteilos,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,-111.57917,536.7868,0.02935399626371045,0.04740156966764235,0.1690244883138825,0.016099017155012663,0.046487749904958436
32,dennis-nusser,Dennis Nusser,FDP,Heidelberg,-382.3487,-642.6004,0.07446446036971488,0.1932088163221429,0.015481378766694302,0.0382503612859151,0.04721319203737676
33,manfred-ebel,Manfred Ebel,DKP,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,-25.339329,560.5582,0.0,0.018063882122649647,0.01085060982733403,0.02205719557623865,0.029343439158055512
34,esther-isaak-de-schmidt-bohlander,Esther Isaak de Schmidt-Bohländer,DIE PARTEI,Hamburg-Wandsbek,-213.86624,100.74519,0.0,0.0,0.022285438591167085,0.0038884791478023353,0.002924377965559355
35,tilo-hellmann,Tilo Hellmann,DIE LINKE,Meißen,967.67847,-78.185265,0.0,0.20795329999150405,0.02165343574506968,0.01871514901638249,0.16517447806084318
36,leon-hahn,Leon Hahn,SPD,Bodensee,-41.343437,-390.77927,0.07278537794348976,0.10600621267364106,0.033109001058472406,0.05285640329676587,0.10479008499433712
37,roland-panter,Roland Panter,DIE GRÜNEN,Hannover-Land II,-749.20264,-30.201113,0.06182284661542412,0.04303568945599811,0.08014499193946663,0.03713637358445683,0.06091195450690098
38,georg-sattler,Georg Sattler,SPD,Rottweil - Tuttlingen,622.22076,72.279915,0.0,0.0,0.0,0.028266823668966618,0.1243084881555006
39,margit-stumpp,Dipl. Ing. (FH) Margit Stumpp,DIE GRÜNEN,Aalen - Heidenheim,-505.3596,111.16846,0.01386125931724255,0.01901266577476149,0.12810776044369446,0.06975220661107671,0.0
40,gabriele-hiller-ohm,Gabriele Hiller-Ohm,SPD,Lübeck,983.7777,-140.03378,0.01366334503137728,0.1861764446606554,0.0071350988563245845,0.012816342844359915,0.1108677273607724
41,steffen-doebert,Steffen Doebert,Mieterpartei,Berlin-Marzahn-Hellersdorf,-562.12775,230.68044,0.007660573556441945,0.014949656008535256,0.08930491497955408,0.02954431694173022,0.07063257830807465
42,katrin-werner,Katrin Werner,DIE LINKE,Trier,228.3226,520.70355,0.0,0.05177364308339308,0.0055580071148713705,0.0,0.030649402742780076
43,dr-nils-schmid,Dr. Nils Schmid,SPD,Nürtingen,599.7543,-78.89403,0.0066465210640135036,0.0707439416973339,0.02748940873792353,0.0,0.07596312855479614
44,pia-zimmermann,Pia Zimmermann,DIE LINKE,Helmstedt - Wolfsburg,367.1607,302.6579,0.0,0.008969052172582502,0.009514979596921543,0.0,0.08889654891646039
45,dirk-methfessel,Dirk Methfessel,DIE LINKE,Main-Kinzig - Wetterau II - Schotten,380.94705,-151.56421,0.006847881851562033,0.0,0.07078653487871571,0.1625386548701593,0.06513254198399769
46,florian-osner,Florian Oßner,CSU,Landshut,35.71722,-588.54706,0.040491627840385215,0.11695438278640538,0.005337761136212228,0.07517913101828905,0.03111373750547585
47,dr-reinhold-reck,Dr. Reinhold Reck,ÖDP,Freising,-332.47446,-115.687996,0.00380001188757746,0.05214644029183048,0.09059873972418317,0.049788249657609376,0.03167329124504836
